step,crossentropy,val crossentropy,acc micro,val acc micro,allgood,val allgood
1,0.2445635536090046,1.2813569042417738,0.05468712631536989,0.08191586449032738,0.0,0.0
2,0.18878440873152544,1.2801929314931233,0.08190149839232569,0.08193272181919642,0.0,0.0
3,0.18861836370697369,1.276759280098809,0.08189630832801872,0.08190104166666666,0.0,0.0
4,0.18862711896701734,1.2817487451765273,0.0801925140173257,0.046202450706845234,0.0,0.0
5,0.18865194207146055,1.2783529890908134,0.060642455224277206,0.04619983491443452,0.0,0.0
6,0.1886776512712578,1.2804490725199382,0.050441363068664966,0.04619838169642857,0.0,0.0
7,0.18868414074385248,1.2793258296118843,0.04618808460884355,0.04621407645089285,0.0,0.0
8,0.1885648279233314,1.2760012944539387,0.0461832267086522,0.04619547526041667,0.0,0.0
9,0.1886892099769748,1.2793065706888835,0.046187046595982134,0.046199253627232144,0.0,0.0
10,0.1886374815251011,1.2770532502068412,0.04619136472948554,0.046204775855654766,0.0,0.0
11,0.18872651248291777,1.275515119234721,0.04619452028858418,0.04618559337797618,0.0,0.0
12,0.18870743142774588,1.2779436111450195,0.046189953031994045,0.046178908575148815,0.0,0.0
13,0.18861951768533444,1.280756089422438,0.04618538577540391,0.04619518461681548,0.0,0.0
14,0.1887019548286386,1.2783585257000394,0.04619124016794218,0.04620826357886904,0.0,0.0
15,0.1885958858628392,1.2782732645670574,0.0461838910368835,0.0462068103608631,0.0,0.0
16,0.18863541279790624,1.2816207541359794,0.04618625770620748,0.046210588727678574,0.0,0.0
17,0.1886222024623499,1.2772982782787747,0.04618725419855443,0.046207972935267856,0.0,0.0
18,0.18867601261657924,1.2773305177688599,0.04619962731186226,0.0461760021391369,0.0,0.0
19,0.18873162956194542,1.2804957628250122,0.04618841677295919,0.04622570219494048,0.0,0.0
20,0.1886155126857109,1.2779947651757133,0.04618829221141582,0.046205938430059525,0.0,0.0
