step,crossentropy,val crossentropy,acc micro,val acc micro,allgood,val allgood
1,8.616223925635929,7.224891106287639,0.06135017239317601,0.05782674153645834,0.0,0.0
2,7.006680431820097,6.076052665710449,0.055078623246173464,0.1111909412202381,0.0,0.0
3,5.669382004510789,4.833521684010823,0.15738471413956207,0.16219976515997023,0.0,0.0
4,4.6863701684134345,4.308327595392863,0.1450473499946853,0.1490080333891369,0.0,0.0
5,4.211439371109009,4.038598418235779,0.15019120196906885,0.16241077241443452,0.0,0.0
6,3.9210232212429954,3.7847744623819985,0.15830123797565904,0.1619474865141369,0.0,0.0
7,3.697798274812244,3.7004970709482827,0.1681486583891369,0.16469552176339286,0.0,0.0
8,3.5342941340946017,3.621177872021993,0.17203614111660293,0.1672578357514881,0.0,0.0
9,3.4164912700653076,3.555332064628601,0.17460289779974492,0.16515502929687498,0.0,0.0
10,3.32426427091871,3.502046783765157,0.17510238958864796,0.16446649460565477,0.0,0.0
11,3.2340809447424754,3.490575075149536,0.17537962206366925,0.16570667085193455,0.0,0.0
12,3.179552503994533,3.4940375487009683,0.17680867513020837,0.16820911225818455,0.0,0.0
13,3.139686249551319,3.439967234929403,0.17783186516794217,0.16786150251116072,0.0,0.0
14,3.1085457461220876,3.4246336619059243,0.1785421150882228,0.1695187523251488,0.0,0.0
15,3.074008657818749,3.4606422185897827,0.17924788079294215,0.16962018694196426,0.0,0.0
16,3.046941263335092,3.4652563333511353,0.1803923522534013,0.17185523623511903,0.0,0.0
17,3.02073373681023,3.453858971595764,0.18108275536777207,0.17052961077008932,0.0,0.0
18,2.9988744599478587,3.480199456214905,0.18163020335087157,0.17281494140625,0.0,0.0
19,2.979540126664298,3.420242746671041,0.18188526387117343,0.1702596028645833,0.0,0.0
20,2.9585670176006498,3.4701670010884604,0.18207526174532315,0.1727725074404762,0.0,0.0
